ÜRÜN GRUBU;STANDART;NUMUNE SAYISI;NUMUNE VAR/YOK;Lab Dönüş
ÇİMENTO;EN 197-1:2011;6;VAR;28
;"EN 14647:2005, 
EN 14647:2005/AC:2006";6;;28
;EN 413-1:2011;6;;28
;"EN 14216:2004
EN 14216:2015";6;;28
;"EN15743:2010+A1:2015
EN 15743:2010";6;;28
;TS EN 197-5 ;;YOK;
;TS EN 197-6;;YOK;
YAPI KİRECİ;EN 459-1:2010;;YOK;
Yapısal olmayan uygulamalar için hidrolik bağlayıcılar;EN 15368:2008+A1:2010;;YOK;
Hidrolik yol bağlayıcılar - Bölüm 1: Hızlı sertleşen hidrolik yol bağlayıcı;EN 13282-1:2013;;YOK;
KAGİR BİRİMLER;EN 771-1:2011+A1:2015;;YOK;
;EN 771-2:2011+A1:2015;;YOK;
;EN 771-3:2011+A1:2015;;YOK;
;EN 771-4:2011+A1:2015;;YOK;
;EN 771-5:2011+A1:2015;;YOK;
;EN 771-6:2011+A1:2015;;YOK;
KAGİR HARCI;"EN 998-2:2010
EN 998-2:2016";;YOK;
AGREGA;EN12620:2002+A1:2008;;YOK;
;"EN 13055-1:2002, EN13055-1:2002/AC:2004
EN 13055-2:2004";;YOK;
;"EN 13139:2002, 
EN13139:2002/AC:2004";;YOK;
;"EN 13450:2002, 
EN13450:2002/AC:2004";;YOK;
;"EN 13383-1:2002, 
EN13383-1:2002/AC:2004";;YOK;
;EN13242:2002+A1:2007;;YOK;
;"EN 13043:2002, 
EN13043:2002/AC:2004";;YOK;
KİMYASAL KATKI;EN 934-2:2009+A1:2012;;YOK;
;EN 934-3:2009+A1:2012;;YOK;
;EN 934-4:2009;;YOK;
;EN 934-5:2007;;YOK;
"BETON
 KORUMA VE TAMİR ÜRÜNLERİ";EN 1504-2:2004;;YOK;
;EN 1504-3:2005;;YOK;
;EN 1504-4:2004;;YOK;
;EN 1504-5:2004;;YOK;
;EN 1504-6:2006;;YOK;
;EN 1504-7:2006;;YOK;
Öğütülmüş Yüksek Fırın Cürufu;EN 15167-1:2006;6;VAR;28
Uçucu Kül;EN 450-1:2012;6;VAR;90
ÖN DÖKÜMLÜ BETON ÜRÜNLERİ;EN1168:2005+A3:2011;;YOK;
;EN 1520:2011;;YOK;
;EN12737:2004+A1:2007;;YOK;
;EN12794:2005+A1:2007, EN;;YOK;
;12794:2005+A1:2007/AC:2008;;YOK;
;EN 12843:2004;;YOK;
;EN 13224:2011;;YOK;
;EN 13225:2013;;YOK;
;EN13693:2004+A1:2009;;YOK;
;EN13747:2005+A2:2010;;YOK;
;EN 13978-1:2005;;YOK;
;EN 14843:2007;;YOK;
;EN14844:2006+A2:2011;;YOK;
;EN 14991:2007;;YOK;
;EN14992:2007+A1:2012;;YOK;
;EN15050:2007+A1:2012;;YOK;
;EN 15258:2008;;YOK;
;EN 15037-1:2008;;YOK;
;EN 15037-2:2009+A1:2011;;YOK;
;EN 15037-3:2009+A1:2011;;YOK;
;EN 15037-4:2010+A1:2013;;YOK;
;EN 12602:2016;;YOK;
BETON;TS EN 206+A2 ve TS 13515;3;VAR;28
Çimento Krom VI;TS EN 196-10 Ek-A;6;VAR;28
Uçucu Kül;ASTM C618;1;VAR;28
PARKE;TS 2824 EN 1338;;YOK;
BORDÜR;TS 436 EN 1340;;YOK;
HİDROLİK ÇİMENTO;ASTM C1157/C1157M;1;VAR;28
KAGİR ÇİMENTOSU;ASTM C91/C91M;1;VAR;28
KATKILI HİDROLİK ÇİMENTO;ASTM C595/C595M;1;VAR;28
Hızlı Sertleşen Hidrolik Çimento;ASTM C1600/C1600M;1;VAR;28
Portland Çimentosu;ASTM C150 / C150M;1;VAR;28
Beyaz Portland Çimentosu;TS 21;3;VAR;28
Doğal Puzolan Tras;TS 25;3;VAR;28
Borlu Aktif Belit Çimentosu;TS 13353;3;VAR;28
Boyalar-Organik çözücülü-Son kat;TS 39;;YOK;
Boyalar ve vernikler ;TS 5808;;YOK;
Boyalar-Astar-Anakardiyum reçine esaslı;TS 10284;;YOK;
Boyalar-Astar-Vinil klorür reçine esaslı;TS 11376;;YOK;
Boyalar-Vinil klorür reçine esaslı;TS 11377;;YOK;
PENCERE VE KAPILARIN FABRİKASYON OLARAK İMALATINDA KULLANILAN SERT POLİVİNİLKLORÜR (PVCU) PROFİLLER;TS EN 12608-1;;YOK;
Boyalar epoksi reçine esaslı-Çelik yapılarda kullanılan;TS 11590;;YOK;
Boyalar-Flatik Reçine Esaslı ;TS 11650;;YOK;
